id,rate,score,title
MKGPb57KYoj11x0t7r5HGw,4,69,chinese
ENOSkB2B8NZNxOtNFmFAZg,4,90,american
0COxcLD-42ecMqBYyoUfyQ,4,92,italian
P8zfrRHemETl3gYFY5FFNA,4.5,96,italian
bENuHq5nDdvSEDsIxSBnQA,4,91,american
PpJP04qfX_UxhFCwt0lwzA,3.5,77,american
k-7RjwprL6YYERds-SXZEQ,3,96,chinese
oqJgvaszapDJ5HMdG9Q2Lw,3,98,chinese
uGzVk45wG2tOjNUzTfH9_g,4,86,chinese
rQ0IS-WDra4BuF0qQkVQKQ,4,79,chinese
HlNLTbcVHi2oltuPOA2kyw,3.5,96,chinese
_GpF4tW9aXkSpAPhXpLJZQ,4,88,latin
IaDXv2ZNo2HUeTatlsjMsw,3.5,96,viet
mZcxUJOnsKKhEiDaiAfyHg,3.5,81,french
iRittrE0Pld2u3Vq_lxC_Q,4,96,french
6y26VcGgSuiJrcXk6YKXyw,4,92,thai
_MB9ozh0K7trfu9y8aCk3A,3,91,thai
vckDXQCcqHDwgOhBpzH2qg,3.5,96,american
KNjay-slya3gi7rw13ifOQ,3.5,83,japanese
wnGWyRbY0--cBaL_LL1ZwA,3,92,japanese
JoH_yAdSZRSqh-QvpDjxfw,4,91,latin
bGI_oq-DVPo2bWJZxDf9gw,4,87,thai
vsNXAscvm-FIU423Cy874w,3.5,90,thai
DsIw4CpBUpZ1gHzH0VrbSg,2.5,83,thai
xZIar7Wc8YCUiAz7S_0Gdg,3.5,94,italian
_sl4NUAHcrqU-F9x25kBQw,3.5,94,american
HWWXRD3KWJRB-WBuXX9RKQ,4,90,italian
z93mjnqenYRyeoWqOJXlrA,4,87,italian
M0xEpdbcmF6iEG7LSST_lQ,4,86,italian
aQuwkkUS_S52ga0PxiOIag,4,98,italian
Ce3GMfMd8Or4Uwn5I7GOuQ,3.5,80,italian
OM8v0GDGzdIhcJODUDCv2Q,4,85,latin
U4W2psx3vypnyP_c6CzZdA,2,98,latin
JU3t0Bae1G4p4NVM0sS0Xg,4,84,italian
-Q-iG5JGTTwfuifDMbXNAQ,4,92,italian
aQZfzVaKO7vVg4FqnOMtNA,3.5,90,italian
yNMCITEPGh6cgqd6VDfQOg,4,82,italian
nCu5bwtvVr04_KvuVGJxBw,4,80,japanese
9GDwCGORwtpgiQJs3K72JA,3.5,87,japanese
P1P-ByAIL4OlqlBTzrVlhg,3,90,japanese
plIGvvIOAKiuCQybfnzSsQ,3.5,75,american
KRpCCCBwaJBGrkBCVUhW7g,3.5,77,french
mnpBIXtI8f1_My6v7sXfYA,3.5,78,chinese
3XyCChhZ6NFnrhaziajVWA,4.5,92,chinese
RAO5L5XSbZtg2oIGOftN2Q,3,92,chinese
gg--F2Z-X2Qh1fkkm1ODHA,4,86,american
D0S0urMr-WbYCpj4MX0kyA,4,87,american
1J9JWlQJCQZ4SdPXRxxdRQ,3.5,85,american
X92ZYvxWrmmEjAMKgiyN3g,4,94,american
deDtn5INFHv8FNYty03hLQ,3.5,74,italian
rBwaN3XeaCQGUH1RLgo0tQ,2.5,89,chinese
ogif-GNQYoVNsc9mqI378w,4,90,viet
qkArHlJuZHD4Cqe98yCnFQ,3.5,85,viet
giVuQ_GwW5m0Fx6Ffu6dRQ,3.5,90,viet
vfK7_QDzzQfzaXf4zOz0fA,3.5,83,japanese
J9UyFeAMsZhqCFNxSFNNkw,4,76,japanese
e02eHaL0toY64Tzodnx8_Q,4,88,medi
KCVZ0Z5GQgQxduizQ91O1Q,4,86,chinese
ZJeACgKeEPuk3v0UiR9Y_Q,3.5,87,chinese
vogO7OMasID3sa8_k9RmpA,4,89,american
jhVo92kIQSPFQTzBaIhP6w,4,90,american
NE5F0rMk0uw0gHlE4Kw3AA,3.5,94,korean
2q1Trf5erXkY6hWyH9tOCw,4,90,chinese
2KpVYd8WcRj11xEpryOL6Q,3,77,chinese
Ye6oSvS6dhNSeK9UjurU_g,3.5,88,japanese
VxT3LXwPdHEz1qpXeI5hig,3.5,88,japanese
eYXwVR4mMAjzkJnm5wneHQ,4,91,japanese
r7hzfE40LUC5xRVpzcLjmA,3.5,81,chinese
